2024-09-02 16:51:47 - C:/Users/Study/Videos\0902 Drop Frames for Will.mov

Duplicate found at frame 1 at 0.02 seconds
Duplicate found at frame 2 at 0.03 seconds
Duplicate found at frame 5 at 0.08 seconds
Duplicate found at frame 7 at 0.12 seconds
Duplicate found at frame 9 at 0.15 seconds
Duplicate found at frame 11 at 0.18 seconds
Duplicate found at frame 13 at 0.22 seconds
Duplicate found at frame 16 at 0.27 seconds
Duplicate found at frame 18 at 0.30 seconds
Duplicate found at frame 20 at 0.33 seconds
Duplicate found at frame 23 at 0.38 seconds
Duplicate found at frame 25 at 0.42 seconds
Duplicate found at frame 27 at 0.45 seconds
Duplicate found at frame 30 at 0.50 seconds
Duplicate found at frame 33 at 0.55 seconds
Duplicate found at frame 36 at 0.60 seconds
Duplicate found at frame 38 at 0.63 seconds
Duplicate found at frame 41 at 0.68 seconds
Duplicate found at frame 43 at 0.72 seconds
Duplicate found at frame 46 at 0.77 seconds
Duplicate found at frame 49 at 0.82 seconds
Duplicate found at frame 51 at 0.85 seconds
Duplicate found at frame 54 at 0.90 seconds
Duplicate found at frame 56 at 0.93 seconds
Duplicate found at frame 58 at 0.97 seconds
Duplicate found at frame 60 at 1.00 seconds
Duplicate found at frame 62 at 1.03 seconds
Duplicate found at frame 63 at 1.05 seconds
Duplicate found at frame 65 at 1.08 seconds
Duplicate found at frame 67 at 1.12 seconds
Duplicate found at frame 69 at 1.15 seconds
Duplicate found at frame 71 at 1.18 seconds
Duplicate found at frame 72 at 1.20 seconds
Duplicate found at frame 74 at 1.23 seconds
Duplicate found at frame 75 at 1.25 seconds
Duplicate found at frame 77 at 1.28 seconds
Duplicate found at frame 79 at 1.32 seconds
Duplicate found at frame 81 at 1.35 seconds
Duplicate found at frame 83 at 1.38 seconds
Duplicate found at frame 85 at 1.42 seconds
Duplicate found at frame 87 at 1.45 seconds
Duplicate found at frame 90 at 1.50 seconds
Duplicate found at frame 92 at 1.53 seconds
Duplicate found at frame 94 at 1.57 seconds
Duplicate found at frame 97 at 1.62 seconds
Duplicate found at frame 100 at 1.67 seconds
Duplicate found at frame 102 at 1.70 seconds
Duplicate found at frame 104 at 1.73 seconds
Duplicate found at frame 107 at 1.78 seconds
Duplicate found at frame 110 at 1.83 seconds
Duplicate found at frame 112 at 1.87 seconds
Duplicate found at frame 114 at 1.90 seconds
Duplicate found at frame 117 at 1.95 seconds
Duplicate found at frame 119 at 1.98 seconds
Duplicate found at frame 121 at 2.02 seconds
Duplicate found at frame 124 at 2.07 seconds
Duplicate found at frame 127 at 2.12 seconds
Duplicate found at frame 128 at 2.13 seconds
Duplicate found at frame 130 at 2.17 seconds
Duplicate found at frame 132 at 2.20 seconds
